terminal,name,origin,destination,overall,first,last,days,x,y,one
2,San Jose Diridon Caltrain,29.852041607,29.9439344352,59.7959760422,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1875794,593119,1
3,San Jose Convention Center,3.7019682204,3.6691493532,7.3711175736,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1876912,593105,1
4,San Jose Santa Clara at Almaden,5.3297840336,5.3232202602,10.6530042938,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1876420,593498,1
5,San Jose Adobe on Almaden,3.4000346421,3.4000346421,6.8000692843,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1876539,593190,1
6,San Jose San Pedro Square,15.5758343741,15.5955256944,31.1713600686,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1876471,593780,1
7,San Jose Paseo de San Antonio,8.4081937772,8.4410126444,16.8492064216,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1877098,593446,1
8,San Jose San Salvador at 1st,4.5946414083,4.5880776349,9.1827190431,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1877190,593029,1
9,San Jose Japantown,7.3317349329,7.3251711595,14.6569060925,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1876429,595113,1
10,San Jose City Hall,27.4956469419,27.4628280747,54.9584750166,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1877088,593841,1
11,San Jose MLK Library,42.6251447221,42.6448360424,85.2699807645,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1877206,593650,1
12,San Jose SJSU 4th at San Carlos,38.9100489548,38.8903576345,77.8004065893,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1877360,593370,1
13,San Jose St James Park,9.4518337542,9.4649613011,18.9167950553,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1876841,594061,1
14,San Jose Green/SAP Center,8.6182345273,8.6182345273,17.2364690545,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1875931,593341,1
16,San Jose SJSU San Salvador at 9th,25.6249715114,25.6774816989,51.3024532103,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1877948,593451,1
21,Franklin at Maple,9.031752254,9.0186247071,18.0503769612,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1847255,610303,1
22,Redwood City Caltrain,4.0892308534,4.0957946268,8.1850254802,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1846946,610736,1
23,San Mateo County Center,4.1351772675,4.128613494,8.2637907615,Thu Aug 29 16:32:01 2013,Tue Jan 28 23:58:01 2014,152.3513888889,1846908,611122,1
